oil_gas,district,lease_no,gas_mcf_d,oil_bbl_d,window,months_present
G,10,061082,10.07,0.0,202512-202605,6
G,10,166518,0.0,0.0,202512-202605,6
G,10,195544,29.44,0.0,202512-202605,6
G,10,219649,0.0,0.0,202512-202605,6
G,10,235786,0.0,0.0,202512-202605,6
G,10,239064,0.0,0.0,202512-202605,6
G,10,268078,4.4,0.99,202512-202605,6
G,10,268241,22.64,0.61,202512-202605,6
G,10,270391,71.72,0.4,202512-202605,6
G,10,286227,189.75,16.94,202512-202605,6
G,10,287123,171.62,0.54,202512-202605,6
G,10,287158,213.28,6.36,202512-202605,6
G,10,288216,186.66,17.58,202512-202605,6
G,10,288257,0.0,0.0,202512-202605,6
G,10,288556,289.45,18.47,202512-202605,6
G,10,289654,136.58,8.02,202512-202605,6
G,10,290248,0.0,0.0,202512-202605,6
G,10,290792,290.59,35.66,202512-202605,6
G,10,290819,430.99,26.57,202512-202605,6
G,10,290847,335.31,30.73,202512-202605,6
G,10,291196,183.51,15.45,202512-202605,6
G,10,292705,456.88,77.74,202512-202605,6
G,10,293106,338.63,19.94,202512-202605,6
G,10,295770,0.11,0.05,202512-202605,6
G,10,295783,273.21,44.08,202512-202605,6
G,10,296636,192.06,64.52,202512-202605,6
G,10,296685,692.2,69.25,202512-202605,6
G,10,298929,1364.33,103.49,202512-202605,6
G,10,298932,1523.13,73.82,202512-202605,6
G,10,298962,258.41,41.75,202512-202605,6
G,10,299499,344.9,100.14,202512-202605,6
G,10,300283,586.63,138.79,202512-202605,6
G,10,300542,2802.46,624.47,202512-202605,6
G,10,301173,1285.59,273.32,202512-202605,6
G,10,034736,8.05,1.2,202512-202605,6
G,10,284036,238.94,27.35,202512-202605,6
G,10,287414,0.0,0.0,202512-202605,6
G,10,293050,621.41,56.2,202512-202605,6
G,10,295605,464.98,45.82,202512-202605,6
G,10,268156,0.0,0.0,202512-202605,6
G,10,287235,0.0,0.0,202512-202605,6
G,10,287541,75.98,12.88,202512-202605,6
G,10,287665,23.42,3.52,202512-202605,6
G,10,289527,469.97,29.38,202512-202605,6
G,10,200301,0.0,0.0,202512-202605,6
G,10,287377,0.0,0.0,202512-202605,2
G,10,287415,10.32,4.25,202512-202605,6
G,10,287530,28.23,13.77,202512-202605,6
G,10,289219,0.0,0.0,202512-202605,6
G,10,289820,0.0,0.0,202512-202605,6
G,10,290057,314.16,25.56,202512-202605,6
G,10,290073,303.15,33.41,202512-202605,6
G,10,295228,434.32,31.86,202512-202605,6
G,10,295606,501.28,55.34,202512-202605,6
G,10,295794,450.48,27.56,202512-202605,6
G,10,296614,791.94,41.08,202512-202605,6
G,10,295780,467.88,38.23,202512-202605,6
G,10,296591,142.26,36.29,202512-202605,6
G,10,297890,1136.05,125.36,202512-202605,6
G,10,299508,746.32,93.15,202512-202605,6
G,10,299509,747.38,112.15,202512-202605,6
G,10,300150,640.61,95.68,202512-202605,6
G,10,296093,443.31,41.47,202512-202605,6
G,10,296511,719.1,85.57,202512-202605,6
G,10,297157,1517.79,152.16,202512-202605,6
G,10,299662,863.9,126.98,202512-202605,6
G,10,040127,464.11,0.0,202512-202605,6
G,10,047916,40.13,0.0,202512-202605,6
G,10,050761,0.0,0.0,202512-202605,6
G,10,050955,1.83,0.0,202512-202605,6
G,10,055970,0.0,0.0,202512-202605,6
G,10,059252,0.0,0.0,202512-202605,6
G,10,066441,0.0,0.0,202512-202605,6
G,10,185312,0.0,0.0,202512-202605,3
G,10,290317,0.82,0.0,202512-202605,6
G,10,299605,1919.21,133.66,202512-202605,6
G,10,059951,10.2,0.0,202512-202605,6
G,10,085163,0.0,0.0,202512-202605,6
G,10,087195,89.08,0.81,202512-202605,6
G,10,239807,28.94,0.0,202512-202605,6
G,10,240961,0.0,0.0,202512-202605,6
G,10,266022,2.27,0.25,202512-202605,6
G,10,271644,285.53,2.03,202512-202605,6
G,10,283606,114.09,8.05,202512-202605,6
G,10,284041,279.06,9.65,202512-202605,6
G,10,284405,110.02,11.04,202512-202605,6
G,10,288271,0.0,0.0,202512-202605,6
G,10,289568,421.82,22.18,202512-202605,6
G,10,290149,170.92,30.27,202512-202605,6
G,10,290749,97.03,11.79,202512-202605,6
G,10,290925,762.38,49.5,202512-202605,6
G,10,293166,575.38,70.24,202512-202605,6
G,10,294930,292.64,19.43,202512-202605,6
G,10,295297,322.77,35.84,202512-202605,6
G,10,296205,635.96,16.68,202512-202605,6
G,10,296260,737.93,32.49,202512-202605,6
G,10,296398,273.41,66.66,202512-202605,6
G,10,300532,381.17,85.03,202512-202605,6
G,10,300936,1792.2,125.04,202512-202605,6
G,10,301005,0.0,0.0,202512-202605,6
G,10,046592,30.38,0.0,202512-202605,6
G,10,287385,92.3,13.34,202512-202605,6
G,10,287527,0.0,0.0,202512-202605,6
G,10,287554,0.02,0.02,202512-202605,6
G,10,287570,100.29,14.43,202512-202605,6
G,10,289112,567.09,23.27,202512-202605,6
G,10,289518,288.16,26.7,202512-202605,6
G,10,292689,835.4,36.23,202512-202605,6
G,10,292834,875.29,68.09,202512-202605,6
G,10,294759,990.58,39.89,202512-202605,6
G,10,296510,396.06,76.1,202512-202605,6
G,10,041626,676.37,0.76,202512-202605,6
G,10,058890,0.0,0.0,202512-202605,6
G,10,287093,413.97,33.45,202512-202605,6
G,10,287629,36.41,5.99,202512-202605,6
G,10,287736,64.69,9.62,202512-202605,6
G,10,290932,211.05,34.33,202512-202605,6
G,10,292748,502.02,39.95,202512-202605,6
G,10,294757,600.97,59.93,202512-202605,6
G,10,295774,461.87,38.59,202512-202605,6
G,10,295935,633.76,35.06,202512-202605,6
G,10,296007,392.66,38.51,202512-202605,6
G,10,297897,1522.77,170.74,202512-202605,6
G,10,300945,13839.07,652.56,202512-202605,6
G,10,295210,517.19,37.63,202512-202605,6
G,10,295706,602.12,35.62,202512-202605,6
G,10,295781,203.38,11.65,202512-202605,6
G,10,296615,519.41,43.12,202512-202605,6
G,10,296883,209.81,29.49,202512-202605,6
G,10,021039,5.94,0.0,202512-202605,6
G,10,044486,200.5,0.7,202512-202605,6
G,10,282527,0.0,0.0,202512-202605,6
G,10,286257,58.31,13.27,202512-202605,6
G,10,287379,131.53,16.4,202512-202605,6
G,10,287409,0.02,0.02,202512-202605,6
G,10,287561,91.13,14.12,202512-202605,6
G,10,289515,183.91,18.72,202512-202605,6
G,10,044781,0.0,0.0,202512-202605,6
G,10,055938,0.0,0.0,202512-202605,6
G,10,058826,0.0,0.0,202512-202605,6
G,10,283054,0.0,0.0,202512-202605,6
G,10,286466,79.91,9.96,202512-202605,6
G,10,287387,82.13,6.37,202512-202605,6
G,10,287504,41.03,3.11,202512-202605,6
G,10,295189,529.44,51.35,202512-202605,6
G,10,299915,880.12,119.96,202512-202605,6
G,10,288605,79.56,14.36,202512-202605,6
G,10,289537,505.21,28.68,202512-202605,6
G,10,297888,1101.16,198.77,202512-202605,6
G,10,300899,5020.56,319.81,202512-202605,6
G,10,301006,11719.01,530.6,202512-202605,6
G,10,021044,0.0,0.0,202512-202605,6
G,10,055939,0.0,0.0,202512-202605,6
G,10,282437,0.0,0.0,202512-202605,6
G,10,286255,32.4,6.64,202512-202605,6
G,10,286256,13.69,6.53,202512-202605,6
G,10,287378,0.0,0.0,202512-202605,6
G,10,287544,146.63,13.07,202512-202605,6
G,10,287593,59.54,7.26,202512-202605,6
G,10,287949,0.0,0.0,202512-202605,6
G,10,289049,720.31,36.98,202512-202605,6
G,10,289218,352.45,33.01,202512-202605,6
G,10,289542,395.26,31.2,202512-202605,6
G,10,289997,0.06,0.16,202512-202605,6
G,10,292816,655.29,58.41,202512-202605,6
G,10,295707,725.85,57.49,202512-202605,6
G,10,299510,707.89,92.8,202512-202605,6
G,10,280415,0.0,0.0,202512-202605,6
G,10,287912,282.52,23.29,202512-202605,6
G,10,300879,4659.4,933.85,202512-202605,6
G,10,050234,0.0,0.0,202512-202605,6
G,10,283588,0.0,0.0,202512-202605,6
G,10,286380,54.82,10.8,202512-202605,6
G,10,287375,0.88,0.26,202512-202605,6
G,10,287563,45.21,9.21,202512-202605,6
G,10,287566,126.9,17.96,202512-202605,6
G,10,289207,488.05,33.42,202512-202605,6
G,10,289387,0.0,0.0,202512-202605,6
G,10,292937,593.14,66.91,202512-202605,6
G,10,294758,582.92,56.44,202512-202605,6
G,10,294936,602.96,54.98,202512-202605,6
G,10,295690,517.27,42.49,202512-202605,6
G,10,296515,414.6,66.26,202512-202605,6
G,10,298512,1490.19,159.93,202512-202605,6
G,10,301085,4249.85,256.84,202512-202605,6
O,10,28041,0.0,0.0,202512-202605,6
O,10,39597,10.2,9.69,202512-202605,6
O,10,39601,65.15,1.55,202512-202605,6
O,10,39818,61.8,32.48,202512-202605,6
O,10,39967,20.69,1.95,202512-202605,6
O,10,40876,22.9,7.04,202512-202605,6
O,10,41509,14.23,7.34,202512-202605,6
O,10,41793,10.12,6.14,202512-202605,6
O,10,44123,0.0,6.2,202512-202605,6
O,10,44424,0.0,0.0,202512-202605,6
O,10,55243,100.76,62.26,202512-202605,6
O,10,59161,147.44,26.44,202512-202605,6
O,10,62235,12.53,2.73,202512-202605,6
O,10,14890,0.0,0.0,202512-202605,6
O,10,15857,1.6,3.45,202512-202605,6
O,10,20092,0.0,0.0,202512-202605,6
O,10,26458,0.0,0.0,202512-202605,6
O,10,33427,0.0,0.0,202512-202605,6
O,10,33769,6.25,6.79,202512-202605,6
O,10,36673,0.0,0.0,202512-202605,6
O,10,38332,10.28,0.75,202512-202605,6
O,10,41014,25.2,3.59,202512-202605,6
O,10,48195,42.3,0.03,202512-202605,6
O,10,48442,27.58,13.81,202512-202605,6
O,10,48789,54.64,23.52,202512-202605,6
O,10,48883,635.9,40.58,202512-202605,6
O,10,49760,190.43,14.7,202512-202605,6
O,10,49960,90.55,42.59,202512-202605,6
O,10,52457,582.51,72.05,202512-202605,6
O,10,53675,601.15,171.77,202512-202605,6
O,10,54692,45.56,22.16,202512-202605,6
O,10,57423,0.0,0.76,202512-202605,6
O,10,57918,90.26,209.94,202512-202605,6
O,10,58562,129.44,92.9,202512-202605,6
O,10,60269,533.87,267.32,202512-202605,6
O,10,60291,467.17,159.6,202512-202605,6
O,10,60301,246.65,369.62,202512-202605,6
O,10,62005,685.54,324.13,202512-202605,6
O,10,63187,1849.81,1290.38,202512-202605,6
O,10,07182,0.0,0.0,202512-202605,6
O,10,46051,0.0,0.0,202512-202605,6
O,10,47341,0.0,0.0,202512-202605,6
O,10,50297,149.14,29.64,202512-202605,6
O,10,50390,0.0,0.0,202512-202605,6
O,10,51034,0.0,23.27,202512-202605,6
O,10,51086,37.63,40.66,202512-202605,6
O,10,51169,0.0,0.0,202512-202605,6
O,10,52751,75.54,49.06,202512-202605,6
O,10,52909,53.56,40.17,202512-202605,6
O,10,53055,4.78,21.02,202512-202605,6
O,10,53100,31.45,24.15,202512-202605,6
O,10,53181,49.18,31.81,202512-202605,6
O,10,53470,0.0,0.0,202512-202605,6
O,10,26289,0.0,0.0,202512-202605,6
O,10,27007,0.0,0.0,202512-202605,6
O,10,53595,0.0,0.0,202512-202605,6
O,10,61146,146.49,87.66,202512-202605,6
O,09,02406,0.0,3.74,202512-202605,6
O,09,03889,0.0,0.0,202512-202605,6
O,09,04455,0.0,0.24,202512-202605,6
O,09,08384,0.0,0.0,202512-202605,6
O,09,13525,0.0,0.16,202512-202605,6
O,09,13972,0.0,0.0,202512-202605,6
O,09,16191,0.0,0.03,202512-202605,6
O,09,17822,0.0,0.0,202512-202605,6
O,09,17831,0.0,0.0,202512-202605,6
O,10,29592,0.0,1.03,202512-202605,6
O,10,37033,0.0,0.0,202512-202605,3
O,10,38846,17.24,3.66,202512-202605,6
O,10,38847,19.3,8.14,202512-202605,6
O,10,39739,0.0,6.5,202512-202605,6
O,10,40305,0.0,0.0,202512-202605,6
O,10,40564,0.0,5.99,202512-202605,6
O,10,40569,0.0,0.0,202512-202605,6
O,10,41005,0.36,5.75,202512-202605,6
O,10,43381,0.0,0.0,202512-202605,6
O,10,43800,0.0,0.0,202512-202605,6
O,10,44791,12.18,8.75,202512-202605,6
O,10,49831,125.47,41.62,202512-202605,6
O,10,51444,0.0,0.0,202512-202605,6
O,09,17927,0.0,0.0,202512-202605,6
O,09,18131,109.84,19.22,202512-202605,6
O,09,18722,20.6,4.88,202512-202605,6
O,09,19793,189.75,20.95,202512-202605,6
O,09,20095,477.93,1.26,202512-202605,6
O,09,20331,0.0,0.0,202512-202605,6
O,09,20404,594.32,12.82,202512-202605,6
O,09,20570,232.15,3.76,202512-202605,6
O,09,20639,0.0,0.0,202512-202605,6
O,09,20650,152.27,6.41,202512-202605,6
O,09,20672,71.46,28.01,202512-202605,6
O,09,20765,520.86,71.76,202512-202605,6
O,09,21487,345.86,18.85,202512-202605,6
O,10,52390,27.49,57.48,202512-202605,6
O,10,56179,98.62,20.76,202512-202605,6
O,10,28766,0.0,0.92,202512-202605,6
O,10,34918,0.0,0.0,202512-202605,6
O,10,36014,0.0,0.0,202512-202605,6
O,10,36561,86.53,37.9,202512-202605,6
O,10,36652,13.74,7.44,202512-202605,6
O,10,41132,29.49,4.64,202512-202605,6
O,10,41454,8.91,5.59,202512-202605,6
O,10,41952,14.89,1.13,202512-202605,6
O,10,46622,0.0,3.64,202512-202605,6
O,09,22076,675.55,44.58,202512-202605,6
O,09,22763,1809.18,934.75,202512-202605,6
O,09,23193,310.01,53.52,202512-202605,6
O,10,14886,0.0,0.0,202512-202605,6
O,10,25056,0.0,0.0,202512-202605,6
O,10,40369,0.0,1.64,202512-202605,6
O,10,40418,0.4,11.47,202512-202605,6
O,10,42355,0.0,0.0,202512-202605,6
O,10,42569,0.0,0.0,202512-202605,6
O,10,42726,44.25,5.81,202512-202605,6
O,10,42873,3.62,4.27,202512-202605,6
O,10,42894,48.29,73.85,202512-202605,6
O,10,43516,0.0,0.0,202512-202605,6
O,10,44241,0.0,0.0,202512-202605,6
O,10,46993,70.34,3.63,202512-202605,6
O,10,47081,3.07,2.4,202512-202605,6
O,10,47339,2382.63,346.42,202512-202605,6
O,10,48931,24.59,5.27,202512-202605,6
O,10,49203,365.95,22.68,202512-202605,6
O,10,49675,382.96,48.63,202512-202605,6
O,10,53434,0.0,0.0,202512-202605,6
O,10,54386,7.79,8.96,202512-202605,6
O,10,54445,104.1,26.37,202512-202605,6
O,10,54605,11.61,4.63,202512-202605,6
O,10,57202,813.06,319.2,202512-202605,6
O,10,64441,204.2,225.58,202512-202605,6
O,10,64700,0.0,0.0,202512-202605,6
O,10,46187,27.05,11.85,202512-202605,6
O,10,47059,341.11,111.67,202512-202605,6
O,10,47643,26.7,29.92,202512-202605,6
O,10,49393,108.15,27.54,202512-202605,6
O,10,49920,161.97,59.01,202512-202605,6
O,10,49968,73.52,12.81,202512-202605,6
O,10,50111,0.04,0.02,202512-202605,6
O,10,50122,2902.07,565.64,202512-202605,6
O,10,50248,0.3,0.05,202512-202605,6
O,10,50322,148.8,17.51,202512-202605,6
O,10,50370,18.51,1.09,202512-202605,6
O,10,50461,0.0,0.0,202512-202605,6
O,10,50546,11.49,8.62,202512-202605,6
O,10,50695,21.14,29.73,202512-202605,6
O,10,51075,45.65,31.66,202512-202605,6
O,10,51446,90.88,27.1,202512-202605,6
O,10,51556,132.4,27.38,202512-202605,6
O,10,52120,82.55,24.57,202512-202605,6
O,10,52133,127.07,28.86,202512-202605,6
O,10,52213,143.59,33.24,202512-202605,6
O,10,52247,463.45,31.18,202512-202605,6
O,10,52369,65.1,29.29,202512-202605,6
O,10,52654,600.31,53.05,202512-202605,6
O,10,52658,37.93,30.84,202512-202605,6
O,10,52853,375.79,171.3,202512-202605,6
O,10,53138,0.0,0.0,202512-202605,6
O,10,53219,30.15,35.73,202512-202605,6
O,10,53252,0.0,0.0,202512-202605,6
O,10,26071,1.04,0.8,202512-202605,6
O,10,33963,0.0,1.64,202512-202605,6
O,10,35112,0.0,0.0,202512-202605,6
O,10,36632,0.0,1.13,202512-202605,6
O,10,39437,60.38,2.22,202512-202605,6
O,10,39825,0.0,4.99,202512-202605,6
O,10,40404,0.58,0.0,202512-202605,6
O,10,40839,0.0,4.47,202512-202605,6
O,10,41072,0.0,1.14,202512-202605,6
O,10,41455,4.22,2.69,202512-202605,6
O,10,54219,59.95,2.66,202512-202605,6
O,10,54233,84.38,38.18,202512-202605,6
O,10,54451,62.31,37.25,202512-202605,6
O,10,55173,640.87,104.44,202512-202605,6
O,10,55900,271.95,35.86,202512-202605,6
O,10,56251,0.0,0.0,202512-202605,6
O,10,57190,0.0,0.0,202512-202605,6
O,10,57840,233.19,54.62,202512-202605,6
O,10,58625,110.78,68.69,202512-202605,6
O,10,58790,99.18,41.5,202512-202605,6
O,10,58798,80.42,44.84,202512-202605,6
O,10,58987,179.96,44.8,202512-202605,6
O,10,58990,280.77,37.21,202512-202605,6
O,10,59287,172.66,124.92,202512-202605,6
O,10,42901,0.0,4.65,202512-202605,6
O,10,43382,0.0,11.94,202512-202605,6
O,10,43727,0.0,3.65,202512-202605,6
O,10,45039,0.0,0.0,202512-202605,6
O,10,45455,0.0,1.73,202512-202605,6
O,10,45860,0.0,0.0,202512-202605,6
O,10,51423,0.0,0.0,202512-202605,6
O,10,53233,31.41,55.76,202512-202605,6
O,10,53633,39.01,29.56,202512-202605,6
O,10,54371,0.0,0.0,202512-202605,6
O,10,54795,322.02,158.27,202512-202605,6
O,11,64892,0.0,3.59,202512-202605,6
O,10,60064,409.24,63.54,202512-202605,6
O,10,60066,253.54,57.85,202512-202605,6
O,10,60104,479.05,64.38,202512-202605,6
O,10,60309,136.73,84.62,202512-202605,6
O,10,60316,119.08,62.37,202512-202605,6
O,10,60376,151.02,67.76,202512-202605,6
O,10,60551,295.02,118.35,202512-202605,6
O,10,60979,51.7,38.77,202512-202605,6
O,10,61046,512.4,83.4,202512-202605,6
O,10,61285,300.51,69.12,202512-202605,6
O,10,61617,105.51,40.93,202512-202605,6
O,10,61680,1425.06,291.49,202512-202605,6
O,10,61703,315.69,43.27,202512-202605,6
O,10,15860,0.0,0.0,202512-202605,6
O,10,33991,0.0,0.0,202512-202605,6
O,10,35794,0.0,0.0,202512-202605,6
O,10,41085,0.0,0.0,202512-202605,6
O,10,42192,0.83,2.57,202512-202605,6
O,10,42307,0.0,8.97,202512-202605,6
O,10,44768,1172.37,272.35,202512-202605,6
O,10,38770,0.0,0.0,202512-202605,6
O,10,38789,0.0,0.0,202512-202605,6
O,10,38963,9.05,10.55,202512-202605,6
O,10,39566,33.62,18.81,202512-202605,6
O,10,39619,0.0,22.37,202512-202605,6
O,10,40188,39.23,4.58,202512-202605,6
O,10,41134,0.0,6.03,202512-202605,6
O,10,41139,55.47,18.8,202512-202605,6
O,10,42381,0.0,3.57,202512-202605,6
O,10,42722,0.0,0.0,202512-202605,6
O,10,43782,0.0,3.65,202512-202605,6
O,10,44162,0.0,0.0,202512-202605,6
O,10,00326,0.0,0.0,202512-202605,6
O,10,01531,0.0,1.53,202512-202605,6
O,10,04700,0.0,0.0,202512-202605,6
O,10,21494,0.0,0.0,202512-202605,6
O,10,27624,0.0,0.0,202512-202605,6
O,10,28604,0.0,0.0,202512-202605,6
O,10,30649,0.0,0.0,202512-202605,6
O,10,33567,0.0,0.0,202512-202605,6
O,10,35472,0.0,0.0,202512-202605,6
O,10,47292,3108.1,1720.84,202512-202605,6
O,10,48317,0.0,0.0,202512-202605,6
O,10,48854,0.0,0.04,202512-202605,6
O,10,61752,819.74,436.52,202512-202605,6
O,10,61842,518.68,66.91,202512-202605,6
O,10,62022,0.08,0.22,202512-202605,6
O,10,62321,226.47,88.16,202512-202605,6
O,10,62587,191.22,124.19,202512-202605,6
O,10,62660,104.69,103.59,202512-202605,6
O,10,62724,235.18,60.58,202512-202605,6
O,10,62773,281.38,121.99,202512-202605,6
O,10,62849,349.35,196.69,202512-202605,6
O,10,62886,0.0,0.0,202512-202605,2
O,10,63020,342.38,218.34,202512-202605,6
O,10,63530,559.48,324.3,202512-202605,6
O,10,63731,409.99,178.75,202512-202605,6
O,10,64022,897.7,154.66,202512-202605,6
O,10,47058,22.2,8.21,202512-202605,6
O,10,48804,410.51,7.47,202512-202605,6
O,10,49741,503.4,22.27,202512-202605,6
O,10,49834,169.84,27.59,202512-202605,6
O,10,53000,18.75,19.25,202512-202605,6
O,10,55392,351.15,26.2,202512-202605,6
O,10,56299,359.45,101.57,202512-202605,6
O,10,59877,596.17,228.98,202512-202605,6
O,10,60281,254.39,228.05,202512-202605,6
O,10,61079,0.0,0.0,202512-202605,6
O,10,62190,384.06,137.55,202512-202605,6
O,10,63352,1287.77,485.96,202512-202605,6
O,10,64510,0.0,0.0,202512-202605,6
O,10,64699,0.0,0.0,202512-202605,6
O,10,45096,0.12,0.82,202512-202605,6
O,10,50409,0.0,0.0,202512-202605,6
O,10,51538,199.26,129.62,202512-202605,6
O,10,52752,45.49,46.33,202512-202605,6
O,10,55241,335.07,52.49,202512-202605,6
O,10,58451,1353.48,149.6,202512-202605,6
O,10,25017,0.0,0.0,202512-202605,6
O,10,34081,0.0,0.0,202512-202605,6
O,10,35296,743.46,57.28,202512-202605,6
O,10,36147,0.0,0.0,202512-202605,6
O,10,36872,0.0,3.16,202512-202605,6
O,10,36874,10.22,11.04,202512-202605,6
O,10,26305,0.0,0.98,202512-202605,6
O,10,26554,0.0,2.36,202512-202605,6
O,10,26954,0.0,2.42,202512-202605,6
O,10,33556,0.0,0.0,202512-202605,6
O,10,22751,0.0,4.42,202512-202605,6
O,10,27147,0.0,2.28,202512-202605,6
O,10,27606,0.0,2.77,202512-202605,6
O,10,30585,0.0,10.32,202512-202605,6
O,10,33990,2.24,1.65,202512-202605,6
O,10,36665,0.0,0.53,202512-202605,6
O,10,37495,4.06,1.18,202512-202605,6
O,10,40459,26.9,6.68,202512-202605,6
O,10,40522,0.0,0.0,202512-202605,6
O,10,41143,3.99,3.01,202512-202605,6
O,10,41527,25.86,15.33,202512-202605,6
O,10,41733,0.0,0.0,202512-202605,6
O,10,42574,386.57,34.14,202512-202605,6
O,10,49828,25.64,4.38,202512-202605,6
O,10,50024,0.0,0.0,202512-202605,6
O,10,53034,21.57,17.82,202512-202605,6
O,10,55418,279.76,181.79,202512-202605,6
O,10,57421,22.25,26.08,202512-202605,6
O,10,57939,939.46,338.09,202512-202605,6
O,10,63790,6877.16,1550.32,202512-202605,6
O,10,64243,0.0,0.0,202512-202605,6
O,09,02357,0.0,0.5,202512-202605,6
O,09,12171,0.0,0.0,202512-202605,6
O,09,12173,0.0,0.0,202512-202605,6
O,10,41016,29.57,4.1,202512-202605,6
O,10,43259,4383.54,803.33,202512-202605,6
O,10,43735,5499.17,1207.62,202512-202605,6
O,10,44342,0.0,0.0,202512-202605,2
O,10,44609,0.0,0.0,202512-202605,2
O,10,47393,2.14,2.67,202512-202605,6
O,10,48775,74.98,17.78,202512-202605,6
O,10,48851,35.45,5.38,202512-202605,6
O,10,49562,780.01,36.42,202512-202605,6
O,10,56963,468.91,67.19,202512-202605,6
O,10,57010,384.32,67.12,202512-202605,6
O,10,58559,144.12,78.56,202512-202605,6
O,10,58604,10.12,23.38,202512-202605,6
O,10,62301,1499.27,788.74,202512-202605,6
O,10,36871,0.0,8.58,202512-202605,6
O,10,39407,1.45,0.98,202512-202605,6
O,10,39525,44.7,12.63,202512-202605,6
O,10,39526,11.81,3.31,202512-202605,6
O,10,39842,0.0,11.04,202512-202605,6
O,10,40083,30.24,6.45,202512-202605,6
O,10,40643,0.13,9.23,202512-202605,6
O,10,40716,8.31,2.9,202512-202605,6
O,10,40928,0.0,0.0,202512-202605,6
O,10,41296,0.0,3.7,202512-202605,6
O,10,41416,0.46,3.57,202512-202605,6
O,10,41600,12.98,7.25,202512-202605,6
O,10,42702,0.0,0.0,202512-202605,6
O,10,43752,0.0,0.0,202512-202605,6
O,10,44165,0.03,0.0,202512-202605,6
O,10,42930,14.11,1.89,202512-202605,6
O,10,43669,15.05,8.12,202512-202605,6
O,10,44152,0.13,1.02,202512-202605,6
O,10,44166,6.13,4.03,202512-202605,6
O,10,50089,0.0,0.0,202512-202605,6
O,10,50315,59.73,24.18,202512-202605,6
O,10,53187,187.15,30.04,202512-202605,6
O,10,53197,26.71,32.6,202512-202605,6
O,10,61124,0.0,0.0,202512-202605,6
O,11,60815,0.0,0.0,202512-202605,6
O,11,64554,0.0,1.18,202512-202605,6
O,09,12334,0.0,2.41,202512-202605,6
O,09,12351,0.0,1.95,202512-202605,6
O,09,13281,0.0,0.0,202512-202605,6
O,09,13498,0.0,0.45,202512-202605,6
O,09,14340,0.0,1.19,202512-202605,6
O,09,14341,0.0,0.51,202512-202605,6
O,09,17942,0.0,0.0,202512-202605,6
O,09,19638,88.87,5.36,202512-202605,6
O,09,19870,357.18,10.15,202512-202605,6
O,09,20036,332.45,12.05,202512-202605,6
O,09,20119,171.61,10.93,202512-202605,6
O,09,20146,126.21,5.99,202512-202605,6
O,09,20359,227.58,28.15,202512-202605,6
O,09,20485,154.58,17.6,202512-202605,6
O,10,64774,0.0,0.0,202512-202605,6
O,10,44952,6.99,3.59,202512-202605,6
O,10,45097,0.0,0.0,202512-202605,6
O,10,45109,0.0,0.0,202512-202605,6
O,10,45603,4.09,1.07,202512-202605,6
O,10,50717,94.56,44.18,202512-202605,6
O,10,52419,8.13,24.26,202512-202605,6
O,10,53206,64.97,35.93,202512-202605,6
O,10,53249,4.16,32.82,202512-202605,6
O,10,53673,17.72,17.37,202512-202605,6
O,10,57792,416.03,166.76,202512-202605,6
O,10,64773,0.0,0.0,202512-202605,6
O,10,15858,10.14,5.52,202512-202605,6
O,10,33936,0.0,0.0,202512-202605,6
O,10,34635,703.95,174.38,202512-202605,6
O,10,41013,1.33,0.96,202512-202605,6
O,10,41371,0.0,0.0,202512-202605,6
O,10,46358,13.92,33.28,202512-202605,6
O,10,48301,844.9,112.48,202512-202605,6
O,10,48439,0.63,1.82,202512-202605,6
O,10,48560,82.12,31.63,202512-202605,6
O,10,49387,98.93,38.64,202512-202605,6
O,10,49759,20.57,3.75,202512-202605,6
O,10,53439,23.9,19.2,202512-202605,6
O,10,57044,464.32,82.41,202512-202605,6
O,09,20560,571.92,24.25,202512-202605,6
O,09,20619,10.45,7.32,202512-202605,6
O,09,20620,177.07,21.55,202512-202605,6
O,09,20623,95.55,20.04,202512-202605,6
O,09,20643,0.0,0.0,202512-202605,6
O,09,20648,406.81,63.84,202512-202605,6
O,09,20649,116.97,8.97,202512-202605,6
O,09,20665,688.49,40.32,202512-202605,6
O,09,20674,192.72,6.62,202512-202605,6
O,09,20679,624.45,3.56,202512-202605,6
O,09,20684,639.55,126.95,202512-202605,6
O,09,20704,101.94,38.66,202512-202605,6
O,09,20786,243.35,5.44,202512-202605,6
O,10,27053,0.0,0.0,202512-202605,6
O,10,39592,35.16,9.46,202512-202605,6
O,10,39631,37.15,8.2,202512-202605,6
O,09,21315,0.0,0.0,202512-202605,6
O,10,27966,0.0,0.0,202512-202605,6
O,10,29620,2.39,0.79,202512-202605,6
O,10,33566,0.0,0.0,202512-202605,6
O,10,34437,0.0,0.0,202512-202605,6
O,10,35981,0.0,0.0,202512-202605,6
O,10,36585,2.36,15.82,202512-202605,6
O,10,37618,56.96,49.79,202512-202605,6
O,10,37623,45.79,52.82,202512-202605,6
O,10,46042,327.05,79.44,202512-202605,6
O,10,46689,0.25,2.56,202512-202605,6
O,10,49299,63.63,7.88,202512-202605,6
O,10,58682,822.63,113.64,202512-202605,6
O,10,61894,482.21,159.55,202512-202605,6
O,10,62227,0.0,0.0,202512-202605,6
O,10,62506,83.98,85.54,202512-202605,6
O,10,64478,0.0,0.0,202512-202605,6
O,10,64566,0.0,0.0,202512-202605,6
